Entity Name,Attribute Name,Data Type,Length,Key (P/F),Table Name of Foreign Key,Constraints,Description,,,,,,
Employee,User Name,Text,9,PK,,,Name of the employee, Pikachu, Eevee, Celebi, Snorlax, Charizard, Mewtwo
,,,,,,,,,,,,,
WorkOrder,Work Order,Text,11,PK,,,WorkOrder Number. Unique, WO-00104116, WO-00251301, WO-00105349, WO-00110610, WO-00110925, WO-00248593
,Date,DateTime,,,,,Date and Time. Formatted from string to DataTime during data entry, 1-5-2018--8-5, 19-2-2019--13-14, 30-4-2018--14-48, 17-4-2018--10-41, 26-4-2018--10-31, 19-2-2019--8-42
,Antenna Test Type,Text,17,,,,Blade/Whip, Blade and/or Whip, Blade and/or Whip, Blade and/or Whip, Blade and/or Whip, Blade and/or Whip, Blade and/or Whip
,GPS Long ,Number,,,,,,152.7524324,,139.34259429587,152.984367638172,153.024695282944,152.971914761231
,GPS Lat,Number,,,,,,-27.60477169, , -35.6776790181507, -27.4171041995673, -27.1806907654062, -27.0792295037818
,GPS Accuracy,Text,28,,,,Always the same, kCLLocationAccuracyKilometer, kCLLocationAccuracyKilometer, kCLLocationAccuracyKilometer, kCLLocationAccuracyKilometer, kCLLocationAccuracyKilometer, kCLLocationAccuracyKilometer
,,,,,,,,,,,,,
,RSSI Vodafone Blade,,,,,,,0,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Removal of calculated data,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
VodafoneBladeTest,VodafoneBladeID,,,,,,,,,,,,
,RSSI Vodafone Blade,Number,,,,,,0, 0.0, 0.0, 0.0, 0.0, 0.0
,RSCP Vodafone Blade,Number,,,,,,14.625,0, 0.0, 0.0,12, 0.0
,RSRP Vodafone Blade,Number,,,,,,23.08333333, 0.0, 0.0, 0.0,26.92307692, 0.0
,Timeout Vodafone Blade,Bool,,,,,, False, True, True, False, False, True
,Network Vodafone Blade,Text,14,,,,," ""vodafone AU""", Unknown, Unknown, Unknown," ""vodafone AU""", Unknown
,Raw Array Vodafone Blade,Array,,,,,," [""39_33-1"", ""39_33-1"", ""39_37-1"", ""99_99-0"", ""99_99-0"", ""99_99-0"", ""99_99-0"", ""99_99-0"", ""40_18-4"", ""40_18-4"", ""40_18-4"", ""39_29-4"", ""39_23-4"", ""39_23-4"", ""40_29-4""]", [], [], []," [""42_43-1"", ""42_43-1"", ""99_99-0"", ""99_99-0"", ""99_99-0"", ""99_99-0"", ""99_99-0"", ""41_17-4"", ""41_17-4"", ""43_22-4"", ""45_24-4"", ""45_26-4"", ""45_23-4"", ""45_24-4"", ""45_24-4""]", []
,Modem Status Vodafone Blade,Text,37,,,,," Registered, Roaming", Registeration Denied," Not Registered, searching for network", ," Registered, Roaming", Registeration Denied
,,,,,,,,,,,,,
VodafoneWhipTest,VodafoneWhipID,,,,,,,,,,,,
,RSSI Vodafone Whip,Number,,,,,,0, 0.0, 0.0, 0.0, 0.0, 0.0
,RSCP Vodafone Whip,Number,,,,,,0, 0.0, 0.0, 0.0, 0.0, 0.0
,RSRP Vodafone Whip,Number,,,,,,0, 0.0, 0.0, 0.0,0, 0.0
,Timeout Vodafone Whip,Bool,,,,,, False, False, False, False, False, False
,Network Vodafone Whip,Text,14,,,,, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown
,Raw Array Vodafone Whip,Array,,,,,, [], [], [], [], [], []
,Modem Status Vodafone Whip,Text,37,,,,, , , , , , 
,,,,,,,,,,,,,
TelstraBladeTest,TelstraBladeID,,,,,,,,,,,,
,RSSI Telstra Blade,Number,,,,,,0, 0.0, 0.0, 0.0, 0.0, 0.0
,RSCP Telstra Blade,Number,,,,,,20.5,0, 27.2, 0.0, 16.4, 0.0
,RSRP Telstra Blade,Number,,,,,,21.76923077,61.13333333, 0.0, 0.0,30.78571429,46.06666667
,Timeout Telstra Blade,Bool,,,,,, False, False, False, False, False, False
,Network Telstra Blade,Text,14,,,,," ""Telstra Mobile"""," ""Telstra Mobile"""," ""Telstra Mobile""", Unknown," ""Telstra Mobile"""," ""Telstra Mobile"""
